,USCPI
1956-01-31,0.3745317999999999
1956-02-29,0.3745317999999999
1956-03-31,0.3745317999999999
1956-04-30,0.7490637
1956-05-31,1.123595
1956-06-30,1.872659
1956-07-31,2.2388060000000003
1956-08-31,1.865672
1956-09-30,1.858736
1956-10-31,2.230483
1956-11-30,2.230483
1956-12-31,2.985075
1957-01-31,2.985075
1957-02-28,3.358209
1957-03-31,3.731343
1957-04-30,3.717472
1957-05-31,3.703704
1957-06-30,3.308824
1957-07-31,3.284672
1957-08-31,3.663004
1957-09-30,3.284672
1957-10-31,2.909091
1957-11-30,3.272727
1957-12-31,2.898551
1958-01-31,3.623188
1958-02-28,3.249098
1958-03-31,3.597122
1958-04-30,3.584229
1958-05-31,3.214286
1958-06-30,2.846975
1958-07-31,2.473498
1958-08-31,2.120141
1958-09-30,2.120141
1958-10-31,2.120141
1958-11-30,2.112676
1958-12-31,1.760563
1959-01-31,1.398601
1959-02-28,1.048951
1959-03-31,0.3472222
1959-04-30,0.3460208
1959-05-31,0.3460208
1959-06-30,0.6920415
1959-07-31,0.6896551999999999
1959-08-31,1.038062
1959-09-30,1.384083
1959-10-31,1.730104
1959-11-30,1.37931
1959-12-31,1.730104
1960-01-31,1.034483
1960-02-29,1.730104
1960-03-31,1.730104
1960-04-30,1.7241380000000002
1960-05-31,1.7241380000000002
1960-06-30,1.7182130000000002
1960-07-31,1.3698629999999998
1960-08-31,1.3698629999999998
1960-09-30,1.023891
1960-10-31,1.360544
1960-11-30,1.360544
1960-12-31,1.360544
1961-01-31,1.7064849999999998
1961-02-28,1.360544
1961-03-31,1.360544
1961-04-30,1.016949
1961-05-31,1.016949
1961-06-30,0.6756757
1961-07-31,1.351351
1961-08-31,1.013514
1961-09-30,1.351351
1961-10-31,0.671141
1961-11-30,0.671141
1961-12-31,0.671141
1962-01-31,0.671141
1962-02-28,1.006711
1962-03-31,1.006711
1962-04-30,1.342282
1962-05-31,1.342282
1962-06-30,1.342282
1962-07-31,1.0
1962-08-31,1.337793
1962-09-30,1.333333
1962-10-31,1.333333
1962-11-30,1.333333
1962-12-31,1.333333
1963-01-31,1.333333
1963-02-28,0.9966778
1963-03-31,1.328904
1963-04-30,0.9933775
1963-05-31,0.9933775
1963-06-30,1.324503
1963-07-31,1.320132
1963-08-31,1.320132
1963-09-30,0.9868421
1963-10-31,1.315789
1963-11-30,1.315789
1963-12-31,1.644737
1964-01-31,1.644737
1964-02-29,1.644737
1964-03-31,1.311475
1964-04-30,1.311475
1964-05-31,1.311475
1964-06-30,1.30719
1964-07-31,1.302932
1964-08-31,0.9771987
1964-09-30,1.302932
1964-10-31,0.974026
1964-11-30,1.298701
1964-12-31,0.9708738
1965-01-31,0.9708738
1965-02-28,0.9708738
1965-03-31,1.294498
1965-04-30,1.618123
1965-05-31,1.618123
1965-06-30,1.935484
1965-07-31,1.607717
1965-08-31,1.935484
1965-09-30,1.607717
1965-10-31,1.92926
1965-11-30,1.602564
1965-12-31,1.923077
1966-01-31,1.923077
1966-02-28,2.564103
1966-03-31,2.555911
1966-04-30,2.866242
1966-05-31,2.866242
1966-06-30,2.531646
1966-07-31,2.848101
1966-08-31,3.481013
1966-09-30,3.481013
1966-10-31,3.785489
1966-11-30,3.785489
1966-12-31,3.4591199999999995
1967-01-31,3.4591199999999995
1967-02-28,2.8125
1967-03-31,2.803738
1967-04-30,2.47678
1967-05-31,2.786378
1967-06-30,2.777778
1967-07-31,2.769231
1967-08-31,2.446483
1967-09-30,2.752294
1967-10-31,2.431611
1967-11-30,2.735562
1967-12-31,3.039514
1968-01-31,3.647416
1968-02-29,3.951368
1968-03-31,3.939394
1968-04-30,3.927492
1968-05-31,3.915663
1968-06-30,4.204204
1968-07-31,4.491018
1968-08-31,4.477612000000001
1968-09-30,4.464286
1968-10-31,4.747775
1968-11-30,4.733728
1968-12-31,4.719764
1969-01-31,4.398827
1969-02-28,4.678362
1969-03-31,5.247813
1969-04-30,5.523256
1969-05-31,5.507246
1969-06-30,5.475504
1969-07-31,5.444126
