,USEcoUncertaintyxTrend
1985-12-31,-1.4960893497183747
1986-01-31,26.301652585765495
1986-02-28,29.032189260112673
1986-03-31,-18.61892825140808
1986-04-30,-10.641999935995898
1986-05-31,3.5796183435739977
1986-06-30,27.043888056835627
1986-07-31,21.13814612135178
1986-08-31,13.982097734254978
1986-09-30,36.732940028161806
1986-10-31,-15.86314599334358
1986-11-30,-42.27523380696364
1986-12-31,-41.45125531233998
1987-01-31,-33.039266065028144
1987-02-28,-49.01621786994369
1987-03-31,-47.30036533538147
1987-04-30,-36.27236533538148
1987-05-31,-47.707833077316955
1987-06-30,-14.891359959037388
1987-07-31,-26.721924475166418
1987-08-31,-31.55224705581157
1987-09-30,-15.495538274449565
1987-10-31,43.174961725550446
1987-11-30,54.20078789042496
1987-12-31,30.15275563236048
1988-01-31,23.0643954173067
1988-02-29,-7.521792609071795
1988-03-31,-13.034374181188966
1988-04-30,-11.346914503769625
1988-05-31,-3.6892424607588623
1988-06-30,-12.16179891237178
1988-07-31,-10.587546224199741
1988-08-31,-7.247116116672842
1988-09-30,-34.80945751452231
1988-10-31,1.8203166790260639
1988-11-30,15.371725281176623
1988-12-31,-5.352387622049193
1989-01-31,6.762155388703491
1989-02-28,-14.555461341525856
1989-03-31,-16.472039682539673
1989-04-30,-5.43973771121351
1989-05-31,0.150961213517661
1989-06-30,7.703701356886839
1989-07-31,19.041136840757815
1989-08-31,-12.524562083973379
1989-09-30,-27.482810291858684
1989-10-31,4.017980030721972
1989-11-30,7.091780209933447
1989-12-31,10.871903865847415
1990-01-31,28.368194188428077
1990-02-28,24.080323604710713
1990-03-31,-7.130018177163336
1990-04-30,-4.180904377880182
1990-05-31,-4.876667818740415
1990-06-30,1.1531583461341341
1990-07-31,6.24270135688684
1990-08-31,53.74745942140298
1990-09-30,39.60818612391192
1990-10-31,36.59636354326676
1990-11-30,45.230178059395755
1990-12-31,19.41852752176139
1991-01-31,25.03901139272915
1991-02-28,14.042018305171524
1991-03-31,-17.12121134152585
1991-04-30,-23.713004352278546
1991-05-31,-41.67843983614951
1991-06-30,-30.77475704045058
1991-07-31,-7.7012892985150785
